Ano,Taxa_Cambio,Taxa_Selic
2000,1.8295,17.6
2001,2.3522,17.46
2002,2.9309,19.22
2003,3.0715,23.52
2004,2.9257,16.38
2005,2.4341,19.14
2006,2.1771,15.31
2007,1.9483,12.04
2008,1.8375,12.45
2009,1.9935,10.14
2010,1.7593,9.9
2011,1.6746,11.76
2012,1.955,8.63
2013,2.1605,8.29
2014,2.3547,10.96
2015,3.3387,13.47
2016,3.4833,14.18
2017,3.1925,10.15
2018,3.6558,6.58
2019,3.9461,6.04
2020,5.1578,2.89
2021,5.3956,4.54
2022,5.1655,12.55
2023,4.9953,13.3
2024,5.392,10.94
2025,5.5855,14.42
2026,5.2146,14.92
