Cultura,Ano,Demanda_P10,Demanda_Mediana,Demanda_P90,Preco_P10,Preco_Mediana,Preco_P90,Potencial_P10,Potencial_Mediana,Potencial_P90
Milho,2024,1224.4182,1264.2741,1303.6361,2.6621,4.3057,5.9188,3364.7990,5430.6241,7500.0749
Milho,2025,1246.1348,1303.3475,1360.9884,2.3036,4.0767,6.4705,3003.5820,5308.3337,8461.3009
Milho,2026,1272.5936,1342.9937,1416.9669,2.1374,3.9179,6.7837,2868.0578,5252.1526,9162.0917
Milho,2027,1300.6361,1384.2385,1472.7400,2.0591,3.7941,6.8915,2839.0408,5256.4775,9504.5288
Milho,2028,1331.5450,1426.5232,1530.1973,2.0521,3.7123,6.9216,2925.0403,5298.7687,9928.3502
Cafe (Arabica),2024,159.4022,166.3074,173.5434,1.7252,2.9330,4.1592,286.8364,486.6893,693.1582
Cafe (Arabica),2025,159.1713,168.8527,179.2778,1.2592,2.5684,4.3541,210.8355,434.9952,736.9472
Cafe (Arabica),2026,159.1827,171.4036,184.4922,1.0062,2.2833,4.3806,172.8008,391.2102,755.2536
Cafe (Arabica),2027,159.6932,173.7386,189.1290,0.8774,2.0413,4.2795,151.3151,354.9197,750.6415
Cafe (Arabica),2028,160.5183,176.4141,193.7474,0.8049,1.8563,4.1341,140.4058,327.4415,728.4306
Cana-de-acucar,2024,176.1775,179.8013,183.4752,0.1416,0.2058,0.2705,25.4423,37.0207,48.6976
Cana-de-acucar,2025,176.7512,181.8922,187.1532,0.1191,0.1903,0.2799,21.6786,34.5078,50.9531
Cana-de-acucar,2026,177.7547,183.9550,190.5864,0.1084,0.1784,0.2835,19.9078,32.7287,52.3240
Cana-de-acucar,2027,178.6933,186.0949,193.7071,0.1024,0.1704,0.2778,18.9336,31.6868,51.8440
Cana-de-acucar,2028,180.0482,188.3396,196.9524,0.0983,0.1637,0.2757,18.4815,30.8628,52.2666
Citros (OJ),2024,1246111.9941,1309325.8894,1377305.7222,1.0472,1.4169,1.7763,1370285.2105,1851649.1360,2341434.0449
Citros (OJ),2025,1182656.2147,1266507.2817,1358284.2162,0.9300,1.3317,1.8064,1162819.5824,1684624.1993,2313204.6568
Citros (OJ),2026,1125338.0946,1225084.6725,1335159.5100,0.8728,1.2562,1.8019,1059064.2048,1547137.1746,2229700.2800
Citros (OJ),2027,1075950.0418,1186136.9522,1308801.5591,0.8322,1.2157,1.7653,980211.3451,1439362.8000,2128548.7004
Citros (OJ),2028,1029299.9501,1148136.9294,1284201.3429,0.8101,1.1805,1.7313,914782.5325,1355876.9951,2026798.2286
Trigo,2024,789.9441,808.7821,828.2783,3.9382,5.6873,7.5055,3174.0866,4583.2255,6069.7060
Trigo,2025,792.5516,820.3600,848.6796,3.4567,5.5158,8.0840,2836.3734,4529.4820,6651.6223
Trigo,2026,797.2303,831.5112,867.1204,3.2565,5.3520,8.4380,2712.0999,4465.6714,7017.4560
Trigo,2027,803.2999,843.8191,885.2811,3.1714,5.2454,8.5304,2673.7357,4418.4258,7229.4099
Trigo,2028,809.9262,855.7141,902.5628,3.1281,5.1911,8.6463,2669.0571,4433.3684,7424.7661
